,Season_ID,Season,League,Player_ID,Players,Points,Clubs,Position,Start,Goals,A,CS,CS.part,Yellow,Red,Sub,CO,Off,Pen.SV,Pen.M,Goals.conceded,Conceded.1.,OG
9936,07/08-PL,2007/2008,Premier League,07/08-Maynor Figueroa,Maynor Figueroa,4,WAFC,Defender,1,0,0,0,1,0,0,2,1,0,-,0,2,1,0
9937,07/08-PL,2007/2008,Premier League,07/08-Tom Craddock,Tom Craddock,4,MFC,Forward,1,0,0,-,-,0,0,2,2,1,-,0,-,-,0
9938,07/08-PL,2007/2008,Premier League,07/08-David Connolly,David Connolly,4,SUND,Forward,1,0,0,-,-,0,0,8,2,1,-,0,-,-,0
9939,07/08-PL,2007/2008,Premier League,07/08-Andrew Davies,Andrew Davies,4,MFC,Defender,3,0,0,0,0,0,0,1,1,0,-,0,7,3,0
9940,07/08-PL,2007/2008,Premier League,07/08-Damien Plessis,Damien Plessis,4,LPOOL,Midfielder,2,0,0,-,-,0,0,0,0,0,-,0,-,-,0
9941,07/08-PL,2007/2008,Premier League,07/08-David Cotterill,David Cotterill,4,WAFC,Midfielder,2,0,0,-,-,0,0,4,0,2,-,0,-,-,0
9942,07/08-PL,2007/2008,Premier League,07/08-Martyn Waghorn,Martyn Waghorn,4,SUND,Forward,1,0,0,-,-,0,0,4,2,0,-,0,-,-,0
9943,07/08-PL,2007/2008,Premier League,07/08-Kieron Dyer,Kieron Dyer,4,WESTHAM,Midfielder,2,0,0,-,-,0,0,0,0,0,-,0,-,-,0
9944,07/08-PL,2007/2008,Premier League,07/08-Valeri Bojinov,Valeri Bojinov,4,MCFC,Forward,1,0,0,-,-,0,0,2,2,1,-,0,-,-,0
9945,07/08-PL,2007/2008,Premier League,07/08-Borja Oubina,Borja Oubina,3,BFC,Midfielder,1,0,0,-,-,0,0,1,1,1,-,0,-,-,0
9946,07/08-PL,2007/2008,Premier League,07/08-Tony Warner,Tony Warner,3,FFC,Goalkeeper,3,0,0,0,0,1,0,24,0,0,0,0,5,2,0
9947,07/08-PL,2007/2008,Premier League,07/08-Caleb Folan,Caleb Folan,3,WAFC,Forward,1,0,0,-,-,0,0,2,1,1,-,0,-,-,0
9948,07/08-PL,2007/2008,Premier League,07/08-Stefan Wessels,Stefan Wessels,3,EVER,Goalkeeper,2,0,0,0,0,0,0,32,0,0,0,0,3,1,0
9949,07/08-PL,2007/2008,Premier League,07/08-Martin Taylor,Martin Taylor,3,BFC,Defender,4,0,0,0,0,0,1,1,0,1,-,0,6,2,0
9950,07/08-PL,2007/2008,Premier League,07/08-Martin Cranie,Martin Cranie,3,PFC,Defender,1,0,0,0,0,0,0,1,1,1,-,0,2,0,0
